ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,Supplement 1,,,,,,walker2011bayesian,,map,
1,Achagua,,,,acha1250,2011,walker2011bayesian,features,feature,map_1
2,Amuesha,,,,yane1238,2011,walker2011bayesian,features,feature,map_1
3,Apurinã,,,,apur1254,2011,walker2011bayesian,features,feature,map_1
4,Asháninka,,,,asha1243,2011,walker2011bayesian,features,feature,map_1
5,Añú,,,,para1316,2011,walker2011bayesian,features,feature,map_1
6,Baniwa,,,,bani1255,2011,walker2011bayesian,features,feature,map_1
7,Cabiyari,,,,cabi1241,2011,walker2011bayesian,features,feature,map_1
8,Chamicuro,,,,cham1318,2011,walker2011bayesian,features,feature,map_1
9,Curripaco,,,,curr1243,2011,walker2011bayesian,features,feature,map_1
10,Guarequena,,,,guar1293,2011,walker2011bayesian,features,feature,map_1
11,Ignaciano,,,,igna1246,2011,walker2011bayesian,features,feature,map_1
12,Iñapari,,,,inap1242,2011,walker2011bayesian,features,feature,map_1
13,Lokono,,,,araw1276,2011,walker2011bayesian,features,feature,map_1
14,Machiguenga,,,,mach1267,2011,walker2011bayesian,features,feature,map_1
15,Mandahuaca,,,,mand1448,2011,walker2011bayesian,features,feature,map_1
16,Mawayana,,,,mapi1252,2011,walker2011bayesian,features,feature,map_1
17,Mehináku,,,,mehi1240,2011,walker2011bayesian,features,feature,map_1
18,Nomatsiguenga,,,,noma1263,2011,walker2011bayesian,features,feature,map_1
19,Palikúr,,,,pali1279,2011,walker2011bayesian,features,feature,map_1
20,Parecís,,,,pare1272,2011,walker2011bayesian,features,feature,map_1
21,Piapoco,,,,piap1246,2011,walker2011bayesian,features,feature,map_1
22,Piro,,,,yine1238,2011,walker2011bayesian,features,feature,map_1
23,Resígaro,,,,resi1247,2011,walker2011bayesian,features,feature,map_1
24,Tariano,,,,tari1256,2011,walker2011bayesian,features,feature,map_1
25,Terêna,,,,tere1281,2011,walker2011bayesian,features,feature,map_1
26,Trinitario,,,,trin1274,2011,walker2011bayesian,features,feature,map_1
27,Wapishana,,,,wapi1253,2011,walker2011bayesian,features,feature,map_1
28,Waurá,,,,waur1244,2011,walker2011bayesian,features,feature,map_1
29,Wayuu,,,,wayu1243,2011,walker2011bayesian,features,feature,map_1
30,Yucuna,,,,yucu1253,2011,walker2011bayesian,features,feature,map_1
