polygon_id,name,glottocode,year,map_name_full,map_image_file,url,lon,lat,note
1,Achagua,acha1250,2011,Supplement 1,Supplement1.png,,-72.1647517602829,4.501081315146558,
2,Amuesha,yane1238,2011,Supplement 1,Supplement1.png,,-75.38360865949525,-10.599142575831722,
3,Apurinã,apur1254,2011,Supplement 1,Supplement1.png,,-66.61042241722006,-8.38518154792391,
4,Asháninka,asha1243,2011,Supplement 1,Supplement1.png,,-73.95142690927158,-12.122453476785516,
5,Añú,para1316,2011,Supplement 1,Supplement1.png,,-71.89223669079955,10.913612333312235,
6,Baniwa,bani1255,2011,Supplement 1,Supplement1.png,,-67.18191560853614,2.9152081057655215,
7,Cabiyari,cabi1241,2011,Supplement 1,Supplement1.png,,-71.05568501929694,0.22363921303007822,
8,Chamicuro,cham1318,2011,Supplement 1,Supplement1.png,,-75.72865997644196,-5.113135075179068,
9,Curripaco,curr1243,2011,Supplement 1,Supplement1.png,,-68.31633485491011,2.5771063626355213,
10,Guarequena,guar1293,2011,Supplement 1,Supplement1.png,,-66.14730135206321,2.4656950533091493,
11,Ignaciano,igna1246,2011,Supplement 1,Supplement1.png,,-65.40405137756312,-15.223339942097144,
12,Iñapari,inap1243,2011,Supplement 1,Supplement1.png,,-69.35500806576212,-12.555451990143144,
13,Lokono,araw1276,2011,Supplement 1,Supplement1.png,,-53.559760004144366,5.0299697951187,
14,Machiguenga,mach1267,2011,Supplement 1,Supplement1.png,,-72.72707965862948,-12.064637762935824,
15,Mandahuaca,mand1448,2011,Supplement 1,Supplement1.png,,-66.70218676028135,1.839085727464153,
16,Mawayana,mapi1252,2011,Supplement 1,Supplement1.png,,-58.514890443283555,2.030986264677269,
17,Mehináku,mehi1240,2011,Supplement 1,Supplement1.png,,-53.472079668420506,-12.680643775429878,
18,Nomatsiguenga,noma1263,2011,Supplement 1,Supplement1.png,,-74.45956640387118,-11.599608809753986,
19,Palikúr,pali1279,2011,Supplement 1,Supplement1.png,,-51.446090491847826,3.323558075524091,
20,Parecís,pare1272,2011,Supplement 1,Supplement1.png,,-57.37114028426736,-14.756391047138544,
21,Piapoco,piap1246,2011,Supplement 1,Supplement1.png,,-69.16618527212748,4.237347283951547,
22,Piro,yine1238,2011,Supplement 1,Supplement1.png,,-73.33193874699408,-11.21378649591038,
23,Resígaro,resi1247,2011,Supplement 1,Supplement1.png,,-71.36177406849474,-2.436035138123561,
24,Tariano,tari1256,2011,Supplement 1,Supplement1.png,,-68.06730849400768,1.498116718820289,
25,Terêna,,2011,Supplement 1,Supplement1.png,,-55.79176466450888,-20.71064055869342,
26,Trinitario,trin1274,2011,Supplement 1,Supplement1.png,,-65.39293759586243,-15.359228647896723,
27,Wapishana,wapi1253,2011,Supplement 1,Supplement1.png,,-59.69442114093653,2.6142819249817077,
28,Waurá,waur1244,2011,Supplement 1,Supplement1.png,,-53.62868432489956,-13.450134553466562,
29,Wayuu,wayu1243,2011,Supplement 1,Supplement1.png,,-72.04728286804188,10.877271362443324,
30,Yucuna,yucu1253,2011,Supplement 1,Supplement1.png,,-71.01268422850359,-0.690206351459004,
